"section","files","ds_files","compat_imports","raw_controls","table_surfaces","explicit_mobile_modes","hand_modals","hot_toast_files","hard_colour_tokens","page_layout","page_header","initial_priority"
"dashboard","4","2","0","0","0","1","0","0","0","0","1","low"
"events","19","16","3","5","4","6","0","0","13","0","3","low"
"customers","5","4","3","0","3","3","0","1","181","2","1","medium"
"messages","6","4","0","1","1","0","0","0","24","1","2","low"
"feedback-inbox","2","1","0","0","1","2","0","1","0","0","1","low"
"menu-management","22","20","21","19","8","0","0","0","276","3","1","high"
"table-bookings","18","14","4","77","4","1","0","3","539","4","0","high"
"private-bookings","21","15","13","38","1","5","0","0","365","12","0","high"
"parking","4","3","0","2","3","1","0","0","4","0","1","low"
"employees","13","8","3","6","2","5","1","0","53","4","2","low"
"recruitment","2","1","0","78","8","0","1","0","0","0","1","high"
"rota","25","20","5","88","5","2","7","13","564","7","0","high"
"cashing-up","11","6","0","3","4","0","0","1","0","0","1","low"
"invoices","17","15","13","6","10","11","0","0","233","12","1","medium"
"quotes","6","5","4","0","2","9","0","0","41","4","1","low"
"oj-projects","14","9","0","0","8","2","0","0","0","0","1","medium"
"receipts","21","19","2","27","6","10","0","7","445","0","1","high"
"mileage","7","7","3","0","4","2","0","0","107","2","1","medium"
"expenses","6","4","4","18","2","0","1","0","143","1","1","medium"
"mgd","5","5","2","0","2","0","0","0","5","0","2","low"
"short-links","9","6","0","8","7","13","0","3","0","0","3","medium"
"settings","39","31","24","36","9","2","0","10","326","18","1","high"
"users","6","6","1","1","3","0","0","1","6","0","1","low"
"roles","7","5","3","4","0","0","0","2","21","3","0","low"
"profile","3","2","1","1","0","0","0","1","0","1","1","low"
"shared-components","74","45","18","114","4","7","15","6","967","0","0","foundation"
"design-system","68","0","0","51","3","20","5","1","168","0","0","foundation"
"employee-onboarding:onboarding","9","2","0","15","0","0","0","0","97","0","0","medium"
"staff-portal:portal","11","3","1","11","0","0","0","3","183","0","0","medium"
"event-kiosk:events","2","1","0","0","0","0","0","0","6","0","0","low"
"timeclock:timeclock","2","1","0","4","0","0","1","2","10","0","0","low"
"feedback:feedback","4","0","0","8","0","0","0","0","44","0","0","low"
